"Year","Total Fossil Fuels Production","Nuclear Electric Power Production","Total Renewable Energy Production","Total Primary Energy Production","Primary Energy Imports","Primary Energy Exports","Primary Energy Net Imports","Primary Energy Stock Change and Other","Total Fossil Fuels Consumption","Nuclear Electric Power Consumption","Total Renewable Energy Consumption","Total Primary Energy Consumption","Scaled Fossil Fuels Production","Scaled Nuclear Electric Power Production","Scaled Renewable Energy Production","Scaled Fossil Fuels Consumption","Scaled Nuclear Electric Power Consumption","Scaled Renewable Energy Consumption"
"1993",55.78027,6.410498,4.00731,66.19808,21.218333,4.226674,16.991662,2.002838,74.680131,6.410498,4.007036,85.192579,0.84262670458116,0.0968381258187549,0.0605351393877285,0.876603712161361,0.0752471409510915,0.0470350357629155
"1994",58.002043,6.693877,4.056461,68.752385,22.306673,4.035282,18.271387,0.0300900000000001,76.150585,6.693877,4.056461,87.053862,0.843636813471998,0.0973621060563935,0.0590010222918085,0.87475251815939,0.0768935099053963,0.0465971400556589
"1995",57.496397,7.075435,4.294582,68.866418,22.179615,4.495891,17.683724,2.119141,77.163345,7.075435,4.296643,88.669282,0.83489745321152,0.102741440683034,0.0623610480219837,0.870237620735443,0.0797957854220586,0.0484569504013803
"1996",58.337657,7.086675,4.479995,69.904325,23.633254,4.612548,19.020706,2.479932,79.699646,7.086675,4.4815,91.404966,0.834535731515897,0.101376774613016,0.0640875224816204,0.871939999408785,0.0775305249826361,0.0490290647884492
"1997",58.806283,6.596992,4.466064,69.86934,25.11924,4.493396,20.625841,1.462359,80.780971,6.596992,4.463377,91.957541,0.841660777101945,0.0944189826324394,0.0639202259531863,0.878459451193894,0.0717395433616478,0.0485373679141768
"1998",59.265921,7.067811,4.174139,70.507866,26.47252,4.236739,22.235779,-0.140923,81.273991,7.067811,4.1727,92.602723,0.840557576937586,0.100241453910972,0.0592010400655155,0.877663079086778,0.076324008312369,0.0450602300323285
"1999",57.559794,7.610254,4.202599,69.372651,27.151582,3.668792,23.48279,1.377533,82.323035,7.610254,4.200761,94.232974,0.82971881815501,0.109701069373866,0.0605800548115135,0.873611767787356,0.0807599895976965,0.0445784614629694
"2000",57.306572,7.862352,4.093033,69.261955,28.865253,3.961666,24.903587,2.52936,84.621752,7.862352,4.095598,96.6949,0.827388889037279,0.113516172045678,0.0590949677929247,0.875141832712997,0.0813109274635994,0.0423558843330931
"2001",58.484746,8.028853,3.513752,70.027351,30.052173,3.73111,26.321066,-1.932701,82.799762,8.028853,3.511947,94.415713,0.835170046629352,0.114653101757341,0.0501768516133075,0.876970150085082,0.0850372543392221,0.0371966369623243
"2002",56.776711,8.145428,3.770941,68.693081,29.330543,3.60824,25.722303,1.160049,83.592256,8.145428,3.766156,95.575435,0.826527361613028,0.118577124237592,0.054895499591873,0.874620722364486,0.0852251208691857,0.0394050626083993
"2003",55.982583,7.959622,3.914187,67.856391,31.006948,4.013129,26.993818,0.956288,83.909091,7.959622,3.915878,95.806499,0.825015627488942,0.117300992326574,0.0576833949214894,0.875818361758527,0.0830801885371054,0.0408727804572005
"2004",55.884019,8.222774,4.09347,68.200262,33.492249,4.351361,29.140891,0.692013,85.666269,8.222774,4.105527,98.033169,0.819410620446004,0.120568070544949,0.0600213236717478,0.873849839537473,0.0838774680434945,0.0418789583350101
"2005",54.995303,8.160811,4.220159,67.37627,34.65927,4.461886,30.197383,0.527272,85.622667,8.160811,4.232904,98.100923,0.816241430402722,0.121122926514038,0.0626356876093022,0.872801849173223,0.0831879125133206,0.0431484625277175
"2006",55.876707,8.214627,4.429647,68.52098,34.648788,4.727338,29.921453,-1.207487,84.477198,8.214627,4.480271,97.234944,0.815468590787814,0.119884844028792,0.0646465797774638,0.868794638273253,0.0844822515658568,0.0460767581662823
"2007",56.369113,8.458591,4.582115,69.409818,34.678535,5.33781,29.340723,0.21457,85.805031,8.458591,4.59486,98.965113,0.812120167207469,0.121864474561798,0.066015372637917,0.867023018505521,0.085470432393686,0.0464290886021623
"2008",57.526853,8.426492,5.084562,71.037905,32.970367,6.949182,26.021186,-0.412363,83.040547,8.426492,5.067704,96.646728,0.809805032960924,0.118619658054387,0.0715753371386727,0.859217365330775,0.0871885905956382,0.0524353395595555
